GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label,Age,Years_Employed,Churn_Probability
F,Y,Y,0,90000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Unknown,1,0,60.0,0,0.29034465670254217
M,N,Y,0,166500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Cleaning staff,1,0,51.0,10,0.4417670832324856
F,Y,Y,0,252000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2,0,48.0,3,0.4729074418123783
F,N,Y,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,2,0,39.0,20,0.2808806878472339
F,Y,Y,0,315000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Unknown,1,0,57.0,0,0.51948875663635
M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,1,1,0,0,Managers,3,0,53.0,15,0.3658117028145656
F,Y,Y,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,0,0,Sales staff,2,0,38.0,10,0.07041397034064717
F,N,Y,0,270000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,1,0,Unknown,1,0,57.0,0,0.40302091542579555
M,Y,Y,1,495000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Managers,3,0,-0.0,3,0.39165817775959916
M,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,0,53.0,8,0.32884578899226424
M,Y,N,0,306000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,0,43.0,4,0.4029378790074586
F,N,Y,0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Private service staff,1,0,48.0,21,0.0009070766887853721
F,N,N,2,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,0,Accountants,4,0,37.0,3,0.7420706890587377
F,N,Y,0,612000.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,1,Accountants,2,0,34.0,10,0.19724322964888266
F,N,Y,1,36000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Core staff,3,0,34.0,3,0.4178301092862317
M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,0,30.0,1,0.4782307345941186
M,Y,N,0,292500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,0,57.0,7,0.5844279386284463
F,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2,0,32.0,2,0.3734879276916981
F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,1,0,0,1,Core staff,4,0,30.0,6,0.381134558294219
F,N,Y,0,292500.0,Working,Higher education,Separated,House / apartment,1,0,1,0,Core staff,1,0,54.0,34,0.10856541516479057
M,Y,N,1,315000.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,1,High skill tech staff,3,0,36.0,9,0.12549985947872766
F,N,N,0,135000.0,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Unknown,2,0,33.0,2,0.1555527478921693
F,N,N,2,337500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,4,0,30.0,5,0.4415269909652584
F,N,N,1,157500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,0,Core staff,2,0,34.0,14,0.5942902979383111
F,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,0,52.0,9,0.33930640422212505
F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,3,0,40.0,12,0.1400090171512196
M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,1,0,0,0,Drivers,2,0,29.0,1,0.4396144031119831
M,N,Y,0,157500.0,Working,Incomplete higher,Married,House / apartment,1,1,1,0,Unknown,2,0,37.0,1,0.5583567399750067
M,Y,N,0,157500.0,Working,Incomplete higher,Married,With parents,1,1,0,0,Drivers,2,0,24.0,2,0.2526343481537607
F,Y,Y,0,139500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,0,57.0,0,0.47715640546232274
F,N,N,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Unknown,1,0,31.0,12,0.1401511531385005
F,Y,Y,1,133650.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,3,0,39.0,5,0.36656729244843683
M,Y,Y,1,427500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,3,0,32.0,6,0.3997324870337513
F,Y,Y,1,81000.0,Working,Higher education,Married,House / apartment,1,1,1,0,Core staff,3,0,29.0,3,0.4040328755262919
F,Y,Y,1,225000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Accountants,3,0,30.0,1,0.5816108886410291
F,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,High skill tech staff,2,0,62.0,6,0.5379630855455677
M,Y,N,2,135000.0,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,4,0,34.0,4,0.4496211647686895
F,N,N,0,94500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Waiters/barmen staff,2,0,45.0,4,0.47607557170419057
F,Y,Y,1,180000.0,Working,Higher education,Separated,House / apartment,1,0,0,0,Managers,2,0,51.0,16,0.1693210998383218
F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Cooking staff,2,0,51.0,8,0.5391562504076967
M,Y,Y,0,252000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Drivers,2,0,37.0,7,0.5313801155393646
F,N,N,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,0,33.0,9,0.21790343912726928
F,N,N,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,0,56.0,6,0.3533107081616376
M,N,Y,0,247500.0,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Core staff,2,0,25.0,1,0.5699188868444474
F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Unknown,1,0,64.0,0,0.614765700431169
M,Y,Y,1,180000.0,Commercial associate,Incomplete higher,Civil marriage,House / apartment,1,0,0,0,Unknown,3,0,42.0,18,0.08310683294620771
F,N,Y,2,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,High skill tech staff,4,0,28.0,1,0.5458480323569541
F,N,N,0,157500.0,Working,Higher education,Civil marriage,With parents,1,0,0,0,Accountants,2,0,36.0,0,0.11762895450576337
F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,0,54.0,0,0.5479080546266648
M,Y,Y,0,166500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Accountants,2,0,33.0,8,0.5295037745732359
M,Y,Y,0,202500.0,Pensioner,Higher education,Married,House / apartment,1,0,0,0,Unknown,2,0,59.0,0,0.6172375048001971
F,N,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Laborers,3,0,28.0,4,0.19940926000121786
M,Y,Y,0,247500.0,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,35.0,7,0.280460417178204
M,Y,N,0,99000.0,State servant,Secondary / secondary special,Married,House / apartment,1,1,1,0,Core staff,2,0,53.0,1,0.44179793854245847
M,Y,N,0,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,0,47.0,3,0.6776983050222629
M,Y,N,1,202500.0,State servant,Higher education,Married,House / apartment,1,0,0,0,Unknown,3,0,36.0,6,0.11866267598478998
F,N,Y,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,4,0,32.0,1,0.3208933437320544
F,Y,Y,2,121500.0,Working,Incomplete higher,Married,House / apartment,1,1,1,0,Core staff,4,0,31.0,0,0.5026992868616603
F,Y,Y,0,157500.0,Working,Incomplete higher,Married,House / apartment,1,1,1,0,Unknown,2,0,25.0,4,0.23878735689378652
F,N,N,2,121500.0,Working,Higher education,Married,House / apartment,1,0,0,0,HR staff,4,0,32.0,1,0.005900888708464614
F,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,0,Laborers,1,0,48.0,5,0.5715432377879367
F,N,N,0,180000.0,State servant,Secondary / secondary special,Widow,House / apartment,1,1,1,0,Laborers,1,0,49.0,0,0.2592816180722575
F,N,N,0,144000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,1,0,Core staff,1,0,46.0,20,0.24671406595242815
M,Y,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,0,53.0,0,0.5577900912527771
M,Y,N,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,High skill tech staff,3,0,41.0,19,0.205307989723195
M,Y,Y,2,157500.0,Commercial associate,Higher education,Married,With parents,1,0,0,0,Drivers,4,0,38.0,1,0.4414957367079251
M,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,0,55.0,18,0.44259585380764793
M,Y,Y,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,5,0,36.0,1,0.667071286652416
F,Y,Y,1,261000.0,State servant,Higher education,Married,House / apartment,1,0,0,0,Managers,3,0,41.0,4,0.11915716687520694
F,Y,Y,2,135000.0,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,0,Core staff,4,0,39.0,16,0.09060675283960472
M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,2,0,35.0,2,0.532207691065825
F,N,Y,0,157500.0,Pensioner,Lower secondary,Married,House / apartment,1,0,0,0,Unknown,2,0,64.0,0,0.913444437139932
M,N,Y,1,103500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,3,0,32.0,1,0.6698164286751518
M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Core staff,2,0,47.0,7,0.45205993856155235
M,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,0,27.0,2,0.5343045557164923
F,N,N,0,112500.0,Working,Higher education,Single / not married,With parents,1,1,1,0,High skill tech staff,1,0,30.0,0,0.2571381907268956
M,N,Y,1,231750.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,3,0,39.0,0,0.5263515242900312
F,Y,Y,0,202500.0,Working,Higher education,Widow,House / apartment,1,0,0,0,Managers,1,0,32.0,4,0.11250587600863886
M,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,2,0,42.0,3,0.5677398242323203
F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,1,0,0,0,Core staff,1,0,29.0,5,0.48242319284580526
F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Sales staff,2,0,31.0,1,0.24797468757208718
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Unknown,1,0,60.0,0,0.3774298727367099
M,Y,Y,0,117000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,0,53.0,2,0.7546920100067863
M,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Low-skill Laborers,2,0,50.0,5,0.6886735464631586
F,N,Y,0,135000.0,Working,Incomplete higher,Single / not married,House / apartment,1,0,0,0,Secretaries,1,0,29.0,1,0.004516852309886802
F,N,Y,0,103500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Unknown,1,0,65.0,0,0.4057898738686313
F,N,N,0,315000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,1,1,1,1,Private service staff,1,0,48.0,8,0.014249681088371838
F,N,N,0,180000.0,Commercial associate,Incomplete higher,Married,With parents,1,1,0,1,Sales staff,2,0,22.0,1,0.25894827091979117
F,N,Y,3,247500.0,Commercial associate,Incomplete higher,Married,House / apartment,1,0,0,1,Unknown,5,0,33.0,6,0.4407741711335093
M,Y,Y,0,135000.0,Working,Lower secondary,Married,With parents,1,0,0,1,Laborers,2,0,27.0,5,0.6162675658617216
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2,0,39.0,12,0.37337957342762995
F,N,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,1,Sales staff,2,0,44.0,0,0.6557133499772763
F,N,Y,0,247500.0,Working,Higher education,Married,House / apartment,1,0,0,1,Managers,2,0,60.0,1,0.5436114042190107
M,Y,Y,0,157500.0,Working,Higher education,Married,House / apartment,1,0,0,0,Laborers,2,0,-0.0,18,0.08437477625199168
M,Y,N,1,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,3,0,35.0,5,0.43600344644711014
F,N,Y,0,247500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Unknown,1,0,63.0,0,0.6273590915222992
F,N,Y,1,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Unknown,3,0,55.0,22,0.11932674739754373
F,N,N,1,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,High skill tech staff,3,0,25.0,6,0.388164131724559
M,N,Y,0,90900.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Unknown,2,0,60.0,0,0.6768155688922792
F,Y,N,3,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Unknown,5,0,32.0,10,0.1833207791860162
F,Y,Y,0,45900.0,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,1,0,Unknown,1,0,55.0,0,0.2543995915641199
M,N,Y,1,126000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,1,0,Unknown,3,0,33.0,0,0.194234790145839
F,N,Y,0,103500.0,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Laborers,2,0,32.0,12,0.24061804714293022
F,N,Y,1,119250.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Core staff,3,0,43.0,12,0.39372058958594336
M,Y,N,2,202500.0,Working,Higher education,Married,House / apartment,1,0,0,0,Drivers,4,0,32.0,1,0.4527144548642305
F,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,3,0,39.0,10,0.3328942335274894
F,Y,Y,0,112500.0,Working,Higher education,Married,House / apartment,1,0,0,1,Accountants,2,0,31.0,6,0.27167229646260993
F,N,Y,1,315000.0,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,3,0,31.0,3,0.34250666210547537
M,N,N,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,3,0,37.0,14,0.5723164410771812
M,N,Y,0,162000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Security staff,1,0,31.0,1,0.5742848929734223
M,Y,N,0,270000.0,Working,Incomplete higher,Married,House / apartment,1,1,1,1,Laborers,2,0,32.0,2,0.6030916580053449
F,N,Y,2,112500.0,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Core staff,4,0,29.0,5,0.3715141993581274
F,N,Y,0,58500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Unknown,1,0,68.0,0,0.6054239732085341
F,N,Y,0,94500.0,Commercial associate,Higher education,Separated,House / apartment,1,0,1,0,Medicine staff,1,0,39.0,17,0.38809622138284805
M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,0,44.0,2,0.6703712451717663
F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,1,0,1,1,Sales staff,2,0,38.0,0,0.31701192987991095
F,Y,Y,0,99000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Unknown,2,0,58.0,0,0.20402368834030152
F,N,Y,1,315000.0,Working,Higher education,Separated,House / apartment,1,1,1,0,Private service staff,2,0,43.0,13,0.003986946218562135
F,Y,Y,1,157500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Core staff,3,0,39.0,6,0.5072441952811614
F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Sales staff,2,0,26.0,3,0.20296085609094625
F,N,N,0,211500.0,Commercial associate,Higher education,Married,With parents,1,1,1,0,Laborers,2,0,40.0,12,0.3597904252651986
M,N,N,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,0,Laborers,1,0,41.0,22,0.285872944829858
F,Y,N,0,180000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,1,0,Unknown,1,0,55.0,0,0.2854782895683928
F,N,N,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,0,-0.0,5,0.2149427597388394
F,N,N,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,4,0,46.0,13,0.31544923713669976
F,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Core staff,1,0,35.0,2,0.4990183154728804
M,N,N,0,148500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,1,Laborers,1,0,38.0,3,0.8688008321758914
F,Y,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,Medicine staff,4,0,37.0,17,0.26989496279160613
F,N,Y,0,90000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Sales staff,2,0,24.0,2,0.3301632467676847
F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,0,58.0,0,0.5773355542041763
F,N,N,0,99000.0,Working,Secondary / secondary special,Married,With parents,1,1,0,0,Medicine staff,2,0,53.0,14,0.21743682156355582
F,N,Y,0,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,1,0,Unknown,1,0,62.0,0,0.44762744127439286
F,N,Y,1,162000.0,State servant,Higher education,Civil marriage,House / apartment,1,0,0,0,Accountants,3,0,41.0,0,0.11266221539413737
F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Managers,1,0,47.0,15,0.17053067315874693
F,Y,Y,0,225000.0,Working,Higher education,Single / not married,House / apartment,1,0,1,1,Unknown,1,0,26.0,1,0.2305996981778001
F,N,Y,0,612000.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,1,Accountants,2,0,34.0,10,0.19724322964888266
F,N,Y,0,292500.0,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,2,0,57.0,13,0.4086912843017595
F,N,Y,0,67500.0,Pensioner,Higher education,Single / not married,Municipal apartment,1,0,0,1,Unknown,1,0,64.0,0,0.8745848628843397
F,N,N,0,157500.0,Working,Higher education,Separated,House / apartment,1,0,0,0,Medicine staff,1,0,47.0,8,0.47920782163641634
F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,Core staff,2,0,56.0,25,0.05965878041186479
F,N,Y,0,67500.0,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,2,0,39.0,4,0.42968159855077503
F,N,Y,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,0,63.0,0,0.6073568995070755
F,Y,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Unknown,2,0,63.0,0,0.5014751657018739
F,N,Y,0,112500.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,0,Cleaning staff,1,0,53.0,5,0.3599705661022055
F,N,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,1,0,27.0,2,0.4020881471370584
F,N,Y,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,1,Managers,2,0,44.0,26,0.019987930411785648
M,Y,N,0,360000.0,State servant,Higher education,Married,House / apartment,1,0,0,0,Unknown,2,0,27.0,5,0.12029514716245195
F,N,Y,1,112500.0,Working,Higher education,Single / not married,House / apartment,1,0,0,0,Core staff,2,0,41.0,3,0.47570804160508723
M,N,Y,0,225000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Managers,2,0,28.0,3,0.15867664049642402
F,Y,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Unknown,2,0,54.0,0,0.44991420996196446
F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,High skill tech staff,2,0,41.0,22,0.10500255080980199
M,Y,Y,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,0,40.0,6,0.2158522811998417
M,N,N,1,225000.0,Commercial associate,Secondary / secondary special,Married,With parents,1,0,0,0,Drivers,3,0,48.0,5,0.5198946607333683
M,Y,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,0,33.0,2,0.48179007711328753
M,Y,Y,1,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,High skill tech staff,3,0,34.0,6,0.2162995941457889
M,Y,N,0,328500.0,Working,Higher education,Married,House / apartment,1,1,1,0,Unknown,2,0,40.0,7,0.4016896623097089
M,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,4,0,29.0,3,0.7708475685418096
M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,0,54.0,0,0.6692377911750248
M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Sales staff,2,0,28.0,2,0.23118827100216827
M,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,0,-0.0,6,0.2198513670658483
F,N,Y,2,270000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Secretaries,4,0,42.0,6,0.010617456033070008
M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,2,0,31.0,6,0.40343317621416047
F,N,Y,0,193500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Unknown,2,0,57.0,31,0.05950405412105048
F,Y,Y,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Unknown,2,0,59.0,0,0.4795256137497305
M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Core staff,2,0,54.0,2,0.6850413698882223
M,Y,N,0,198000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,0,37.0,8,0.4226075137865098
F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,0,59.0,0,0.5990087621432625
M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,0,29.0,3,0.3039660053622469
M,Y,Y,0,72000.0,Working,Higher education,Married,House / apartment,1,0,0,0,Security staff,2,0,59.0,1,0.6433502286112737
M,Y,N,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,0,43.0,10,0.3930308921456397
F,Y,Y,1,247500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,1,Laborers,3,0,46.0,3,0.19997237195536288
M,Y,N,0,157500.0,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,0,Unknown,2,0,40.0,8,0.14467287162444442
F,N,N,0,225000.0,State servant,Secondary / secondary special,Married,With parents,1,0,1,0,Medicine staff,2,0,33.0,0,0.1356724165291689
M,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,1,0,1,0,Laborers,1,0,43.0,0,0.951555478081978
M,Y,Y,1,450000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Unknown,3,0,47.0,4,0.6380643252798553
M,Y,Y,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,3,0,27.0,0,0.6094615671154253
F,N,N,1,108000.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,1,0,Unknown,2,0,39.0,11,0.22565980037852307
F,N,Y,0,787500.0,State servant,Higher education,Married,House / apartment,1,0,0,1,Managers,2,0,47.0,3,0.3111289948101222
F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,1,0,1,0,Unknown,2,0,38.0,14,0.030454186919826973
M,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,0,57.0,3,0.8250698574294656
F,N,Y,1,90000.0,Working,Secondary / secondary special,Separated,With parents,1,0,1,1,Sales staff,2,0,36.0,2,0.15165971732036912
F,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,0,54.0,3,0.41933474365534273
M,N,N,2,225000.0,Working,Higher education,Civil marriage,House / apartment,1,1,0,0,Laborers,4,0,45.0,8,0.3386219026416461
F,N,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Unknown,1,0,40.0,1,0.34660425547378265
F,N,N,0,72000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,0,Cleaning staff,1,0,51.0,4,0.294981105073753
M,Y,Y,14,225000.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Drivers,15,0,48.0,4,0.6357836262083898
M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Laborers,2,0,26.0,8,0.39303176556993175
M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,0,34.0,11,0.4737577360329926
M,Y,Y,0,450000.0,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,1,Sales staff,1,0,29.0,1,0.49404659106267956
F,Y,N,0,216000.0,Working,Higher education,Married,Municipal apartment,1,0,1,0,Sales staff,2,0,32.0,0,0.5849401702429577
F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,0,41.0,12,0.4687988253053779
M,Y,Y,0,315000.0,Working,Higher education,Married,House / apartment,1,0,0,0,Laborers,2,0,49.0,3,0.6070353482295737
F,Y,Y,2,315000.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,4,0,33.0,3,0.11648566362853317
F,N,N,0,594000.0,Pensioner,Higher education,Single / not married,Municipal apartment,1,0,0,0,Unknown,1,0,47.0,0,0.8929222807029399
F,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,0,49.0,1,0.3368734121994544
F,N,Y,0,180000.0,State servant,Higher education,Married,House / apartment,1,0,0,0,Core staff,2,0,47.0,3,0.2811354854081413
M,Y,N,0,157500.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,1,0,Security staff,1,0,46.0,1,0.6464479041215789
F,Y,Y,1,234000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Unknown,2,0,56.0,7,0.28206593941151786
F,Y,Y,0,99000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Unknown,2,0,58.0,0,0.20402368834030152
M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,0,Drivers,2,0,49.0,11,0.6054134105098005
M,Y,Y,1,292500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Unknown,3,0,34.0,9,0.39893527202913615
